algorithm,param_col,param_value,dataset,seed,soft_penalty,runtime,feasible,hard,status,wall
tabu,tabu_patience,2000,synthetic_scaling_1000,44,5906,15.987288,True,0,ok,23.34
vns,vns_iters,1000,synthetic_scaling_1000,44,8464,2.836757,True,0,ok,11.34
vns,vns_iters,2659,synthetic_scaling_1000,43,7067,7.606197,True,0,ok,15.12
vns,vns_iters,2659,synthetic_scaling_1000,42,7522,7.75737,True,0,ok,16.04
vns,vns_iters,2659,synthetic_scaling_1000,44,7702,8.173073,True,0,ok,16.46
vns,vns_iters,7071,synthetic_scaling_1000,42,4556,18.746875,True,0,ok,26.77
vns,vns_iters,7071,synthetic_scaling_1000,43,5178,19.897475,True,0,ok,27.81
vns,vns_iters,7071,synthetic_scaling_1000,44,6557,21.135545,True,0,ok,28.89
vns,vns_budget,10,synthetic_scaling_1000,42,8382,5.56383,True,0,ok,13.77
vns,vns_budget,10,synthetic_scaling_1000,43,6783,4.827374,True,0,ok,12.96
vns,vns_iters,18803,synthetic_scaling_1000,42,3421,51.561038,True,0,ok,59.75
vns,vns_iters,18803,synthetic_scaling_1000,44,4366,49.900233,True,0,ok,57.58
vns,vns_iters,18803,synthetic_scaling_1000,43,4315,49.878398,True,0,ok,57.85
vns,vns_budget,10,synthetic_scaling_1000,44,7046,4.957565,True,0,ok,13.01
vns,vns_budget,32,synthetic_scaling_1000,42,4344,10.464505,True,0,ok,18.35
vns,vns_budget,32,synthetic_scaling_1000,43,5799,10.521678,True,0,ok,18.67
vns,vns_budget,32,synthetic_scaling_1000,44,6792,10.686356,True,0,ok,19.04
vns,vns_budget,55,synthetic_scaling_1000,42,7234,15.457652,True,0,ok,23.49
vns,vns_budget,55,synthetic_scaling_1000,43,4997,14.722743,True,0,ok,22.69
vns,vns_budget,55,synthetic_scaling_1000,44,6400,14.729134,True,0,ok,22.14
vns,vns_budget,78,synthetic_scaling_1000,42,8114,20.862019,True,0,ok,28.45
vns,vns_budget,78,synthetic_scaling_1000,43,5349,21.068568,True,0,ok,29.22
vns,vns_budget,78,synthetic_scaling_1000,44,5287,20.041758,True,0,ok,27.71
vns,vns_budget,100,synthetic_scaling_1000,42,4671,24.717052,True,0,ok,32.86
vns,vns_budget,100,synthetic_scaling_1000,43,4724,25.929015,True,0,ok,33.38
vns,vns_iters,50000,synthetic_scaling_1000,42,3457,130.545451,True,0,ok,138.49
vns,vns_budget,100,synthetic_scaling_1000,44,6050,24.633116,True,0,ok,32.36
vns,vns_iters,50000,synthetic_scaling_1000,43,3435,129.585946,True,0,ok,136.92
vns,vns_iters,50000,synthetic_scaling_1000,44,4072,130.859476,True,0,ok,138.99
woa,woa_pop,10,synthetic_scaling_1000,42,13494,36.89998,True,0,ok,44.25
woa,woa_pop,10,synthetic_scaling_1000,43,8267,35.202175,True,0,ok,43.16
woa,woa_pop,10,synthetic_scaling_1000,44,19037,36.815197,True,0,ok,44.26
woa,woa_pop,32,synthetic_scaling_1000,42,14022,106.626546,True,0,ok,114.38
woa,woa_pop,32,synthetic_scaling_1000,43,13889,109.731067,True,0,ok,117.77
woa,woa_pop,32,synthetic_scaling_1000,44,13569,111.660017,True,0,ok,119.17
woa,woa_pop,55,synthetic_scaling_1000,42,17011,182.876696,True,0,ok,190.42
woa,woa_pop,55,synthetic_scaling_1000,43,10850,180.4811,True,0,ok,187.81
woa,woa_pop,55,synthetic_scaling_1000,44,16259,182.928426,True,0,ok,190.99
woa,woa_iters,500,synthetic_scaling_1000,42,34045,15.671637,True,0,ok,22.52
woa,woa_iters,500,synthetic_scaling_1000,43,27814,16.816799,True,0,ok,24.23
woa,woa_iters,500,synthetic_scaling_1000,44,33823,16.268206,True,0,ok,23.9
woa,woa_pop,78,synthetic_scaling_1000,42,12616,260.43867,True,0,ok,268.65
woa,woa_iters,1257,synthetic_scaling_1000,42,19792,37.25149,True,0,ok,45.36
woa,woa_iters,1257,synthetic_scaling_1000,43,15613,37.616901,True,0,ok,45.56
woa,woa_pop,78,synthetic_scaling_1000,43,12897,257.896077,True,0,ok,265.73
woa,woa_pop,78,synthetic_scaling_1000,44,12831,254.100477,True,0,ok,261.81
woa,woa_iters,1257,synthetic_scaling_1000,44,20933,36.9313,True,0,ok,44.55
woa,woa_iters,3162,synthetic_scaling_1000,42,13195,89.756269,True,0,ok,96.96
woa,woa_pop,100,synthetic_scaling_1000,42,18469,323.706687,True,0,ok,331.86
woa,woa_iters,3162,synthetic_scaling_1000,43,9953,85.395389,True,0,ok,92.76
woa,woa_iters,3162,synthetic_scaling_1000,44,13619,85.19587,True,0,ok,92.81
woa,woa_pop,100,synthetic_scaling_1000,43,10149,329.43328,True,0,ok,337.12
woa,woa_pop,100,synthetic_scaling_1000,44,11001,328.448762,True,0,ok,336.18
woa,woa_iters,7953,synthetic_scaling_1000,42,8229,209.181359,True,0,ok,216.68
woa,woa_iters,7953,synthetic_scaling_1000,43,8783,191.110297,True,0,ok,198.3
woa,woa_iters,7953,synthetic_scaling_1000,44,6991,200.478965,True,0,ok,208.08
woa,woa_iters,20000,synthetic_scaling_1000,43,5291,385.910404,True,0,ok,393.75
woa,woa_iters,20000,synthetic_scaling_1000,42,7061,400.375646,True,0,ok,408.34
woa,woa_iters,20000,synthetic_scaling_1000,44,7489,353.235448,True,0,ok,360.89
